sku,product_name,unit_price,unit_of_measure,stock_status,discount_1,discount_2,net_price,supplier_name
A099DRILLBOYXLEMPTY,Jobber Drills,91.67,1,Stocked,0.68,0,29.33,Dormer
A100.2,Jobber Drills,13.91,10,Stocked,0.68,0,4.45,Dormer
A100.25,Jobber Drills,13.29,10,Stocked,0.68,0,4.25,Dormer
A100.3,Jobber Drills,10.51,10,Stocked,0.68,0,3.36,Dormer
A100.32,Jobber Drills,14.11,10,Stocked,0.68,0,4.52,Dormer
A100.35,Jobber Drills,9.42,10,Stocked,0.68,0,3.01,Dormer
A100.38,Jobber Drills,12.46,10,Stocked,0.68,0,3.99,Dormer
A100.4,Jobber Drills,8.76,10,Stocked,0.68,0,2.80,Dormer
A100.42,Jobber Drills,12.98,10,Stocked,0.68,0,4.15,Dormer
A100.45,Jobber Drills,8.24,10,Stocked,0.68,0,2.64,Dormer
A100.48,Jobber Drills,12.26,10,Stocked,0.68,0,3.92,Dormer
A100.5,Jobber Drills,6.85,10,Stocked,0.68,0,2.19,Dormer
A100.52,Jobber Drills,11.85,10,Stocked,0.68,0,3.79,Dormer
A100.55,Jobber Drills,8.76,10,Stocked,0.68,0,2.80,Dormer
A100.58,Jobber Drills,10.82,10,Stocked,0.68,0,3.46,Dormer
A100.6,Jobber Drills,7.26,10,Stocked,0.68,0,2.32,Dormer
A100.62,Jobber Drills,11.12,10,Stocked,0.68,0,3.56,Dormer
A100.65,Jobber Drills,8.24,10,Stocked,0.68,0,2.64,Dormer
A100.68,Jobber Drills,10.51,10,Stocked,0.68,0,3.36,Dormer
A100.7,Jobber Drills,6.54,10,Stocked,0.68,0,2.09,Dormer
A100.72,Jobber Drills,10.4,10,Stocked,0.68,0,3.33,Dormer
A100.75,Jobber Drills,6.85,10,Stocked,0.68,0,2.19,Dormer
A100.78,Jobber Drills,9.37,10,Stocked,0.68,0,3.00,Dormer
A100.8,Jobber Drills,5.87,10,Stocked,0.68,0,1.88,Dormer
A100.82,Jobber Drills,9.22,10,Stocked,0.68,0,2.95,Dormer
A100.85,Jobber Drills,6.33,10,Stocked,0.68,0,2.03,Dormer
A100.88,Jobber Drills,9.12,10,Stocked,0.68,0,2.92,Dormer
A100.9,Jobber Drills,6.08,10,Stocked,0.68,0,1.95,Dormer
A100.92,Jobber Drills,8.91,10,Stocked,0.68,0,2.85,Dormer
A100.95,Jobber Drills,6.33,10,Stocked,0.68,0,2.03,Dormer
A100.98,Jobber Drills,8.45,10,Stocked,0.68,0,2.70,Dormer
A1001.0,Jobber Drills,4.89,10,Stocked,0.68,0,1.56,Dormer
A1001.05,Jobber Drills,7.26,10,Stocked,0.68,0,2.32,Dormer
A1001.1,Jobber Drills,5.15,10,Stocked,0.68,0,1.65,Dormer
A1001.15,Jobber Drills,6.75,10,Stocked,0.68,0,2.16,Dormer
A1001.2,Jobber Drills,5.15,10,Stocked,0.68,0,1.65,Dormer
A1001.25,Jobber Drills,6.08,10,Stocked,0.68,0,1.95,Dormer
A1001.3,Jobber Drills,4.89,10,Stocked,0.68,0,1.56,Dormer
A1001.35,Jobber Drills,6.33,10,Stocked,0.68,0,2.03,Dormer
A1001.4,Jobber Drills,4.69,10,Stocked,0.68,0,1.50,Dormer
A1001.45,Jobber Drills,6.08,10,Stocked,0.68,0,1.95,Dormer
A1001.5,Jobber Drills,4.27,10,Stocked,0.68,0,1.37,Dormer
A1001.55,Jobber Drills,5.77,10,Stocked,0.68,0,1.85,Dormer
A1001.6,Jobber Drills,4.12,10,Stocked,0.68,0,1.32,Dormer
A1001.65,Jobber Drills,5.92,10,Stocked,0.68,0,1.89,Dormer
A1001.7,Jobber Drills,4.48,10,Stocked,0.68,0,1.43,Dormer
A1001.75,Jobber Drills,5.2,10,Stocked,0.68,0,1.66,Dormer
A1001.8,Jobber Drills,4.38,10,Stocked,0.68,0,1.40,Dormer
A1001.85,Jobber Drills,5.56,10,Stocked,0.68,0,1.78,Dormer
A1001.9,Jobber Drills,4.27,10,Stocked,0.68,0,1.37,Dormer
A1001.95,Jobber Drills,4.84,10,Stocked,0.68,0,1.55,Dormer
A1001/16,Jobber Drills,4.12,10,Stocked,0.68,0,1.32,Dormer
A1001/2,Jobber Drills,42.23,5,Stocked,0.68,0,13.51,Dormer
A1001/32,Jobber Drills,5.87,10,Stocked,0.68,0,1.88,Dormer
A1001/4,Jobber Drills,9.06,10,Stocked,0.68,0,2.90,Dormer
A1001/64,Jobber Drills,8.76,10,Stocked,0.68,0,2.80,Dormer
A1001/8,Jobber Drills,3.97,10,Stocked,0.68,0,1.27,Dormer
A10010.0,Jobber Drills,21.73,10,Stocked,0.68,0,6.95,Dormer
A10010.1,Jobber Drills,28.63,5,Stocked,0.68,0,9.16,Dormer
A10010.2,Jobber Drills,27.71,5,Stocked,0.68,0,8.87,Dormer
A10010.25,Jobber Drills,37.49,5,Stocked,0.68,0,12.00,Dormer
A10010.3,Jobber Drills,28.84,5,Stocked,0.68,0,9.23,Dormer
A10010.4,Jobber Drills,31.0,5,Stocked,0.68,0,9.92,Dormer
A10010.5,Jobber Drills,28.02,5,Stocked,0.68,0,8.97,Dormer
A10010.6,Jobber Drills,32.14,5,Stocked,0.68,0,10.28,Dormer
A10010.7,Jobber Drills,36.67,5,Stocked,0.68,0,11.73,Dormer
A10010.75,Jobber Drills,46.14,5,Stocked,0.68,0,14.76,Dormer
A10010.8,Jobber Drills,34.4,5,Stocked,0.68,0,11.01,Dormer
A10010.9,Jobber Drills,32.65,5,Stocked,0.68,0,10.45,Dormer
A10011.0,Jobber Drills,32.24,5,Stocked,0.68,0,10.32,Dormer
A10011.1,Jobber Drills,37.7,5,Stocked,0.68,0,12.06,Dormer
A10011.2,Jobber Drills,38.83,5,Stocked,0.68,0,12.43,Dormer
A10011.25,Jobber Drills,47.59,5,Stocked,0.68,0,15.23,Dormer
A10011.3,Jobber Drills,40.07,5,Stocked,0.68,0,12.82,Dormer
A10011.4,Jobber Drills,39.14,5,Stocked,0.68,0,12.52,Dormer
A10011.5,Jobber Drills,34.4,5,Stocked,0.68,0,11.01,Dormer
A10011.6,Jobber Drills,43.05,5,Stocked,0.68,0,13.78,Dormer
A10011.7,Jobber Drills,42.33,5,Stocked,0.68,0,13.55,Dormer
A10011.75,Jobber Drills,47.48,5,Stocked,0.68,0,15.19,Dormer
A10011.8,Jobber Drills,43.26,5,Stocked,0.68,0,13.84,Dormer
A10011.9,Jobber Drills,47.79,5,Stocked,0.68,0,15.29,Dormer
A10011/16,Jobber Drills,106.09,1,Stocked,0.68,0,33.95,Dormer
A10011/32,Jobber Drills,15.24,10,Stocked,0.68,0,4.88,Dormer
A10011/64,Jobber Drills,6.08,10,Stocked,0.68,0,1.95,Dormer
A10012.0,Jobber Drills,37.49,5,Stocked,0.68,0,12.00,Dormer
A10012.1,Jobber Drills,52.53,5,Stocked,0.68,0,16.81,Dormer
