product_name,supplier_name,sku,unit_price
0-25mm Limit Micrometer,Master 01 Apr,,
25mm Tube Micrometer,Master 01 Apr,,
25mm Outside Disk Micrometer,Master 01 Apr,,
25-50mm Outside Disk Micrometer,Master 01 Apr,,
0.6-0.9mm Metric and Unified Thread Micrometer Tips,Master 01 Apr,,
10 pairs/set Measuring Tips For Screw Thread Micrometer,Master 01 Apr,,
 55° Screw Thread Micrometer Tips,Master 01 Apr,,
25mm Screw Thread Micrometer without measuring tips,Master 01 Apr,,
25-50mm Screw Thread Micrometer without measuring tips,Master 01 Apr,,
50mm  55° Screw Thread Micrometer Setting Standard,Master 01 Apr,,
75mm  55° Screw Thread Micrometer Setting Standard,Master 01 Apr,,
125mm  55° Screw Thread Micrometer Setting Standard,Master 01 Apr,,
150mm  55° Screw Thread Micrometer Setting Standard,Master 01 Apr,,
175mm  55° Screw Thread Micrometer Setting Standard,Master 01 Apr,,
200mm  55° Screw Thread Micrometer Setting Standard,Master 01 Apr,,
5-30mm Inside Micrometer,Master 01 Apr,,
25-50mm Inside Micrometer,Master 01 Apr,,
50-75mm Inside Micrometer,Master 01 Apr,,
100mm Inside Micrometer,Master 01 Apr,,
50-63mm Tubular Inside Micrometer,Master 01 Apr,,
50-300mm Metric Tubular Inside Micrometer Set,Master 01 Apr,,
50-600mm Metric Tubular Inside Micrometer Set,Master 01 Apr,,
50-1000mm Tubular Inside Micrometer,Master 01 Apr,,
50-1500mm Tubular Inside Micrometer,Master 01 Apr,,
50-63mm Tubular Inside Micrometer,Master 01 Apr,,
100-900mm Tubular Inside Micrometer,Master 01 Apr,,
50-200mm Tubular Inside Micrometer,Master 01 Apr,,
300mm Tubular Inside Micrometer,Master 01 Apr,,
6-8mm Three Points Inside Micrometer,Master 01 Apr,,
8-10mm Three Points Inside Micrometer,Master 01 Apr,,
10-12mm Three Points Inside Micrometer,Master 01 Apr,,
12-16mm Three Points Inside Micrometer,Master 01 Apr,,
16-20mm Three Point Inside Micrometer Set,Master 01 Apr,,
20-25mm Three Points Inside Micrometer,Master 01 Apr,,
