product_name,unit_price,supplier_name,sku
400x50x127mm 38A46JVBE MEDIUM TOOLROOM GRINDING WHEELS WHITE ALUMINIUM OXIDE,576.86,Norton,
400x50x127mm 3SG46GVHP COARSE,1087.56,Norton,
400x50x127mm NQ46FVSP,1191.14,Norton,
450x32x127mm 53A54/3JVBE MEDIUM TOOLROOM GRINDING WHEELS WHITE ALUMINIUM OXIDE,501.96,Norton,
75x25x12.7 38A60MVBE MED,31.13,Norton,
180x25x31.75mm REC 1S 90x12mm - SBG60JVH MEDIUM,132.84,Norton,
180x25x31.75mm REC 1S 90x12mm 38A60JVBE MED/FINE TOOLROOM GRINDING WHEELS TYPE 5 RECESSED 1 SIDE WHEELS FOR TOOL STEEL - WHITE ALUMINIUM OXIDE,73.6,Norton,
200x40x31.75mm REC 1S 105x18mm 38A46MVBE MEDIUM TOOLROOM GRINDING WHEELS TYPE 5 RECESSED 1 SIDE WHEELS FOR TOOL STEEL - WHITE ALUMINIUM OXIDE,121.45,Norton,
200x40x31.75mm REC 1S 105x18mm 38A60MVBE MED/FINE TOOLROOM GRINDING WHEELS TYPE 5 RECESSED 1 SIDE WHEELS FOR TOOL STEEL - WHITE ALUMINIUM OXIDE,121.45,Norton,
300x40x127mm REC 1S 200x12mm 38A60JVBE MED/FINE TOOLROOM GRINDING WHEELS TYPE 5 RECESSED 1 SIDE WHEELS FOR TOOL STEEL - WHITE ALUMINIUM OXIDE,221.87,Norton,
300x40x127mm REC 1S 200x12mm - NQP60JVS3,461.87,Norton,
300x40x127mm REC 1S 200x12mm - SGB46JVH COARSE,462.42,Norton,
300x40x127mm REC 1S 200x12mm 38A46JVBE MEDIUM TOOLROOM GRINDING WHEELS TYPE 5 RECESSED 1 SIDE WHEELS FOR TOOL STEEL - WHITE ALUMINIUM OXIDE,221.87,Norton,
350x40x127mm REC 1S 200x12mm NQ46GVSP,728.73,Norton,
05_350.00 x 40.00 x 127.00_NQ_60_J__V REC 1S 200x12mm,728.73,Norton,
350x40x127mm REC 1S 200x12mm - SGB46JVH COARSE,524.63,Norton,
350x40x127mm REC 1S 200x12mm 38A46H12VBEP MEDIUM TOOLROOM GRINDING WHEELS TYPE 5 RECESSED 1 SIDE WHEELS FOR TOOL STEEL - WHITE ALUMINIUM OXIDE,283.73,Norton,
350x40x127mm REC 1S 200x12mm 38A46JVBE MEDIUM TOOLROOM GRINDING WHEELS TYPE 5 RECESSED 1 SIDE WHEELS FOR TOOL STEEL - WHITE ALUMINIUM OXIDE,283.73,Norton,
